# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	52	1386	-	DBOGNM_00001	srmB	ATP-dependent RNA helicase SrmB	EC:3.6.4.13, GO:0000027, GO:0003724, GO:0005524, GO:0005829, GO:0008143, GO:0008186, GO:0016887, GO:0031555, GO:0033592, RefSeq:WP_000219193.1, SO:0001217, UniParc:UPI000000E4C0, UniRef:UniRef100_C3SZ18, UniRef:UniRef50_P21507, UniRef:UniRef90_P21507
contig_1	cds	1518	2255	+	DBOGNM_00002	trmN	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN	BlastRules:WP_000083343, BlastRules:WP_000083348, COG:COG4123, COG:J, EC:2.1.1.223, GO:0003676, GO:0005737, GO:0016430, RefSeq:WP_001298974.1, SO:0001217, UniParc:UPI00005F01A9, UniRef:UniRef100_B7M8I9, UniRef:UniRef50_Q8XA22, UniRef:UniRef90_Q8XA22
contig_1	cds	2240	3862	-	DBOGNM_00003	nadB	L-aspartate oxidase	COG:COG0029, COG:H, EC:1.4.3.16, GO:0005829, GO:0008734, GO:0009435, GO:0034628, GO:0044318, GO:0050660, RefSeq:WP_001094499.1, SO:0001217, UniParc:UPI0001787CC3, UniRef:UniRef100_J7R7E6, UniRef:UniRef50_P10902, UniRef:UniRef90_P10902
contig_1	cds	4270	4845	+	DBOGNM_00004	rpoE	RNA polymerase sigma factor RpoE	BlastRules:WP_000003307, COG:COG1595, COG:K, GO:0003677, GO:0005737, GO:0006352, GO:0006979, GO:0016987, RefSeq:WP_001295364.1, SO:0001217, UniParc:UPI000013477E, UniRef:UniRef100_P0AGB8, UniRef:UniRef50_P0AGB8, UniRef:UniRef90_P0AGB8
contig_1	cds	4878	5528	+	DBOGNM_00005	rseA	anti-sigma-E factor RseA	COG:COG3073, COG:T, GO:0005886, GO:0016989, GO:0045892, GO:0060090, GO:1903865, RefSeq:WP_001168459.1, SO:0001217, UniParc:UPI00001351EC, UniRef:UniRef100_P0AFX8, UniRef:UniRef50_D0ZSY8, UniRef:UniRef90_P0AFX8
contig_1	cds	5528	6484	+	DBOGNM_00006	rseB	sigma-E factor regulatory protein RseB	COG:COG3026, COG:T, KEGG:K03598, RefSeq:WP_000812036.1, SO:0001217, UniParc:UPI00005F01A7, UniRef:UniRef100_A0A0F3VUI4, UniRef:UniRef50_E5YE98, UniRef:UniRef90_A0A0F3VUI4
contig_1	ncRNA	6445	7276	-	DBOGNM_00007	asrC	antisense RNA of rseC mRNA	RFAM:RF02746, SO:0000644
contig_1	cds	6481	6960	+	DBOGNM_00008	rseC	SoxR-reducing system protein RseC	COG:COG3086, COG:T, GO:0005886, GO:0006979, KEGG:K03803, RefSeq:WP_000589068.1, SO:0001217, UniParc:UPI00001351F0, UniRef:UniRef100_P46187, UniRef:UniRef50_P46187, UniRef:UniRef90_P46187
contig_1	cds	7158	8957	+	DBOGNM_00009	lepA	translation elongation factor 4	COG:COG0481, COG:J, EC:3.6.5.n1, GO:0003746, GO:0003924, GO:0005525, GO:0005886, GO:0043022, GO:0045727, GO:0097216, RefSeq:WP_000790168.1, SO:0001217, UniParc:UPI000012E473, UniRef:UniRef100_A7ZQ13, UniRef:UniRef50_Q7VL73, UniRef:UniRef90_A1JKK1
contig_1	cds	8973	9947	+	DBOGNM_00010	lepB	signal peptidase I	COG:COG4959, COG:OU, EC:3.4.21.89, GO:0004252, GO:0005886, GO:0006465, RefSeq:WP_000002542.1, SO:0001217, UniParc:UPI000000E4BC, UniRef:UniRef100_C3SZ57, UniRef:UniRef50_P00803, UniRef:UniRef90_P0A1W3
contig_1	ncRNA-region	10060	10274	+			rncO	RFAM:RF00552, SO:0005836
contig_1	cds	10220	10900	+	DBOGNM_00011	rnc	ribonuclease III	COG:COG0571, COG:K, EC:3.1.26.3, GO:0004525, GO:0005737, GO:0006364, GO:0006396, GO:0006397, GO:0008033, GO:0019843, GO:0046872, RefSeq:WP_001068343.1, SO:0001217, UniParc:UPI000013434C, UniRef:UniRef100_A7ZQ11, UniRef:UniRef50_Q47WP5, UniRef:UniRef90_D4GKM1
