# Annotated with Bakta
# Software: v1.10.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	472	651	+	BPGCJJ_00001		hypothetical protein	SO:0001217, UniParc:UPI00019AF8B4, UniRef:UniRef100_A0A2G8ZWS6, UniRef:UniRef50_A0A2G8ZWS6, UniRef:UniRef90_A0A2G8ZWS6
contig_1	cds	652	3435	-	BPGCJJ_00002	pqqL	putative zinc protease PqqL	COG:COG0612, COG:R, EC:3.4.24.-, GO:0004222, GO:0005829, GO:0006508, GO:0008233, GO:0008237, GO:0008270, GO:0030288, RefSeq:WP_001350645.1, SO:0001217, UniParc:UPI0001A65521, UniRef:UniRef100_A0A2G8ZWZ3, UniRef:UniRef50_P31828, UniRef:UniRef90_P31828
contig_1	cds	3492	5864	-	BPGCJJ_00003	yddB	Uncharacterized protein YddB	COG:COG4771, COG:P, GO:0009279, RefSeq:WP_000832485.1, SO:0001217, UniParc:UPI0000D5092B, UniRef:UniRef100_A0A2J7MSU1, UniRef:UniRef50_P31827, UniRef:UniRef90_P31827
contig_1	cds	5902	7560	-	BPGCJJ_00004	yddA	Inner membrane ABC transporter ATP-binding protein YddA	COG:COG4178, COG:R, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0140359, RefSeq:WP_000903674.1, SO:0001217, UniParc:UPI0001F90DF6, UniRef:UniRef100_A0A210NXH9, UniRef:UniRef50_P31826, UniRef:UniRef90_P31826
contig_1	cds	7878	9035	-	BPGCJJ_00005	ydeM	anaerobic sulfatase maturase	COG:COG0641, COG:O, GO:0006974, GO:0016491, GO:0018209, GO:0046500, GO:0046872, GO:0051539, GO:0051604, RefSeq:WP_001362857.1, SO:0001217, UniParc:UPI0000E44FCA, UniRef:UniRef100_A0A2J7MSS8, UniRef:UniRef50_P76134, UniRef:UniRef90_P76134
contig_1	cds	9087	10769	-	BPGCJJ_00006	ydeN	Uncharacterized sulfatase YdeN	COG:COG3119, COG:P, EC:3.1.6.-, GO:0004065, GO:0030288, GO:0046872, RefSeq:WP_001296072.1, SO:0001217, UniParc:UPI0000DACE48, UniRef:UniRef100_E2QM44, UniRef:UniRef50_P77318, UniRef:UniRef90_P77318
contig_1	cds	11171	11932	-	BPGCJJ_00007	ydeO	acid stress response transcriptional regulator YdeO	BlastRules:WP_000060495, COG:COG2207, COG:K, GO:0003700, GO:0043565, RefSeq:WP_000060455.1, SO:0001217, UniParc:UPI0000E44FCB, UniRef:UniRef100_A0A2J1BQF0, UniRef:UniRef50_P76135, UniRef:UniRef90_P76135
contig_1	cds	12007	12204	-	BPGCJJ_00008	safA	two-component system connector SafA	BlastRules:WP_000543384, GO:0005886, KEGG:K23236, RefSeq:WP_000543391.1, SO:0001217, UniParc:UPI0000D5092E, UniRef:UniRef100_Q1RBS2, UniRef:UniRef50_Q7UCH6, UniRef:UniRef90_Q0THS6
contig_1	cds	12452	14731	-	BPGCJJ_00009	ydeP	acid resistance putative oxidoreductase YdeP	BlastRules:WP_000726691, COG:C, COG:COG0243, GO:0008863, GO:0030151, GO:0043546, GO:0051539, RefSeq:WP_000726723.1, SO:0001217, UniParc:UPI00005EF9CC, UniRef:UniRef100_S1PAK8, UniRef:UniRef50_P77561, UniRef:UniRef90_P77561
contig_1	cds	15070	15984	-	BPGCJJ_00010	ydeQ	Uncharacterized fimbrial-like protein YdeQ	GO:0009289, GO:0043709, RefSeq:WP_000520594.1, SO:0001217, UniParc:UPI0000D5092F, UniRef:UniRef100_A0A2J7MV87, UniRef:UniRef50_P77588, UniRef:UniRef90_P77588
contig_1	cds	16044	16547	-	BPGCJJ_00011	ydeR	Uncharacterized fimbrial-like protein YdeR	COG:COG3539, COG:N, GO:0009289, GO:0043709, KEGG:K07349, RefSeq:WP_000825468.1, SO:0001217, UniParc:UPI00019AF8BE, UniRef:UniRef100_A0A2J7NDX2, UniRef:UniRef50_P77294, UniRef:UniRef90_P77294
contig_1	cds	16560	17090	-	BPGCJJ_00012	fimA	Pilin (type 1 fimbrial protein)	COG:COG3539, COG:N, RefSeq:WP_000876778.1, SO:0001217, UniParc:UPI0000E44FCD, UniRef:UniRef100_A0A1V2T821, UniRef:UniRef50_B7URN7, UniRef:UniRef90_A0A176ZW59
