# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	22	4482	-	GPCFHD_00001	mukB	chromosome partition protein MukB	COG:COG3096, COG:D, GO:0003677, GO:0005524, GO:0005737, GO:0006260, GO:0007059, GO:0009295, GO:0030261, GO:0051301, RefSeq:WP_001538520.1, SO:0001217, UniParc:UPI0002A21712, UniRef:UniRef100_A0A8B5HS09, UniRef:UniRef50_Q935S7, UniRef:UniRef90_B5QZC8
contig_1	cds	4482	5186	-	GPCFHD_00002	mukE	chromosome partition protein MukE	COG:COG3095, COG:D, GO:0005737, GO:0006260, GO:0007059, GO:0009295, GO:0030261, GO:0051301, RefSeq:WP_001295931.1, SO:0001217, UniParc:UPI00005EF84C, UniRef:UniRef100_Q8FJA3, UniRef:UniRef50_P22524, UniRef:UniRef90_P22524
contig_1	cds	5167	6489	-	GPCFHD_00003	mukF	chromosome partition protein MukF	COG:COG3006, COG:D, GO:0005509, GO:0005737, GO:0006260, GO:0007059, GO:0009295, GO:0030261, GO:0051301, RefSeq:WP_001288856.1, SO:0001217, UniParc:UPI00000DE959, UniRef:UniRef100_B7MHN1, UniRef:UniRef50_P45185, UniRef:UniRef90_Q8XDG2
contig_1	cds	6486	7271	-	GPCFHD_00004	cmoM	tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM	COG:COG2227, COG:H, EC:2.1.1.-, GO:0002098, GO:0008168, GO:0008757, GO:0030488, GO:0097697, RefSeq:WP_001298300.1, SO:0001217, UniParc:UPI0000135AEC, UniRef:UniRef100_P36566, UniRef:UniRef50_P36566, UniRef:UniRef90_P36566
contig_1	cds	7407	8186	+	GPCFHD_00005	elyC	envelope biogenesis factor ElyC	COG:COG1434, COG:M, GO:0000270, GO:0005886, GO:0006457, GO:0043164, GO:0071555, RefSeq:WP_000899600.1, SO:0001217, UniParc:UPI000013A5A1, UniRef:UniRef100_P0AB02, UniRef:UniRef50_P0AB02, UniRef:UniRef90_P0AB02
contig_1	cds	8163	9056	-	GPCFHD_00006	ycbJ	Uncharacterized protein YcbJ	RefSeq:WP_000436922.1, SO:0001217, UniParc:UPI000013A5A5, UniRef:UniRef100_P0AB04, UniRef:UniRef50_P0AB04, UniRef:UniRef90_P0AB04
contig_1	cds	9210	9956	-	GPCFHD_00007	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	COG:COG1212, COG:M, EC:2.7.7.38, GO:0005737, GO:0008690, GO:0009103, GO:0009244, GO:0033468, KEGG:K00979, RefSeq:WP_000011610.1, SO:0001217, UniParc:UPI0001C2299E, UniRef:UniRef100_A0A061KWL1, UniRef:UniRef50_Q8XDG6, UniRef:UniRef90_Q8XDG6
contig_1	cds	9953	10135	-	GPCFHD_00008	ycaR	protein YcaR	COG:COG2835, COG:J, GO:0005829, RefSeq:WP_000350051.1, SO:0001217, UniParc:UPI00018870E8, UniRef:UniRef100_B7MS35, UniRef:UniRef50_Q74VT6, UniRef:UniRef90_A9MHW6
contig_1	cds	10187	11419	-	GPCFHD_00009	ycaQ	Uncharacterized protein YcaQ	COG:COG3214, COG:L, GO:0019104, GO:0036297, RefSeq:WP_001538519.1, SO:0001217, UniParc:UPI0002A22492, UniRef:UniRef100_S1PJ34, UniRef:UniRef50_P75843, UniRef:UniRef90_P75843
contig_1	cds	11456	12442	-	GPCFHD_00010	lpxK	tetraacyldisaccharide 4'-kinase	COG:COG1663, COG:M, EC:2.7.1.130, GO:0005524, GO:0009029, GO:0009245, GO:0016310, SO:0001217, UniRef:UniRef50_P27300, UniRef:UniRef90_P27300
